building,latitude,longitude
BOON LAY MRT STATION (JS8),1.33809844792781,103.704624110866
BOTANIC GARDENS MRT STATION (CC19),1.32211373558877,103.814984510627
BRIGHT HILL MRT STATION (TE7),1.36328318545185,103.832893619992
BUKIT BATOK MRT STATION (NS2),1.34903331201636,103.749566478309
BUONA VISTA MRT STATION (EW21),1.3072237082044,103.790253514502
CORPORATION MRT STATION (JS5),1.35306468148146,103.713943249051
OUTRAM PARK MRT STATION (EW16),1.28140504772213,103.839130979249
PASIR RIS MRT STATION (EW1),1.37304331635804,103.949284527763
PUNGGOL COAST MRT STATION (NE18),1.41492733388605,103.910166388177
SIGLAP MRT STATION (TE28),1.31000869432289,103.930025826708
BEAUTY WORLD MRT STATION (DT5),1.34122317558549,103.775794285083
BENDEMEER MRT STATION (DT23),1.31367252847691,103.862977620945
CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959
DHOBY GHAUT MRT STATION (NS24),1.29870132536119,103.846113677951
LABRADOR PARK MRT STATION (CC27),1.27225417749656,103.802631578766
MARINE PARADE MRT STATION (TE26),1.30261163483383,103.904983086812
ROCHOR MRT STATION (DT13),1.30385218527656,103.852769428884
SEMBAWANG MRT STATION (NS11),1.44905082158502,103.820046140211
TELOK BLANGAH MRT STATION (CC28),1.27070647717762,103.809761611219
WOODLANDS MRT STATION (TE2),1.43605761708128,103.787938777173
CLEMENTI MRT STATION (EW23),1.31511625277378,103.765191452888
DHOBY GHAUT MRT STATION (CC1),1.29891164362677,103.84629250696
DOVER MRT STATION (EW22),1.31140529320963,103.778637841909
HAVELOCK MRT STATION (TE16),1.28850523975311,103.833585838226
HAW PAR VILLA MRT STATION (CC25),1.28257135772488,103.781752725064
JURONG EAST MRT STATION (JE5),1.33301320936138,103.741893277263
KENT RIDGE MRT STATION (CC24),1.29353349887123,103.784572738173
OUTRAM PARK MRT STATION (TE17),1.28132964411173,103.839137557749
PASIR PANJANG MRT STATION (CC26),1.27621352233766,103.791350313288
TUAS WEST ROAD MRT STATION (EW32),1.32998504653102,103.639616648771
BUONA VISTA MRT STATION (CC22),1.30663450405,103.790709404436
CHINESE GARDEN MRT STATION (EW25),1.34235282081401,103.732596738363
CITY HALL MRT STATION (EW13 / NS25),1.29293672227779,103.852585580366
COMMONWEALTH MRT STATION (EW20),1.30250199924325,103.798228523336
LORONG CHUAN MRT STATION (CC14),1.35161217074555,103.864151938651
MOUNT PLEASANT MRT STATION (TE10),1.32856455460666,103.83518858199
PAYA LEBAR MRT STATION (CC9),1.3172473854035,103.892260753884
QUEENSTOWN MRT STATION (EW19),1.29455085184931,103.806077155982
REDHILL MRT STATION (EW18),1.28963453412887,103.81674097205
TIONG BAHRU MRT STATION (EW17),1.28610253615775,103.827445112419
BENCOOLEN MRT STATION (DT21),1.29891843369422,103.850353762717
BISHAN MRT STATION (CC15),1.35131580146658,103.84914026532
BRAS BASAH MRT STATION (CC2),1.29686168649656,103.850667371637
BUGIS MRT STATION (DT14),1.29931350344582,103.857125959023
BUGIS MRT STATION (EW12),1.30046508509717,103.855706730933
ESPLANADE MRT STATION (CC3),1.2936577245386,103.855081226245
FORT CANNING MRT STATION (DT20),1.29248194822996,103.844331362465
JURONG WEST MRT STATION (JS6),1.34918500140335,103.708285820033
MACPHERSON MRT STATION (CC10),1.32607760171665,103.890391305725
WOODLANDS SOUTH MRT STATION (TE3),1.42739605281442,103.79326432221
BISHAN MRT STATION (NS17),1.35083898784737,103.848143964542
HOLLAND VILLAGE MRT STATION (CC21),1.31224029631595,103.796399122407
KHATIB MRT STATION (NS14),1.41738337009565,103.832979908243
ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249
TAMPINES EAST MRT STATION (DT33),1.35619148271544,103.9546344625
TUAS LINK MRT STATION (EW33),1.34088242451105,103.636991425128
UBI MRT STATION (DT27),1.32997425973974,103.899226655439
WOODLANDS MRT STATION (NS9),1.43681962961519,103.786066799253
WOODLANDS NORTH MRT STATION (TE1),1.44829245259621,103.785692682441
YISHUN MRT STATION (NS13),1.42944308477331,103.835005047246
DAKOTA MRT STATION (CC8),1.30854798388121,103.889064718377
FARRER PARK MRT STATION (NE8),1.31190557325774,103.853477716509
JALAN BESAR MRT STATION (DT22),1.3051713878069,103.855295713435
LAKESIDE MRT STATION (EW26),1.34425911493819,103.720949087456
LAVENDER MRT STATION (EW11),1.30737781747063,103.862767633888
LITTLE INDIA MRT STATION (DT12),1.30701826765224,103.848660935092
LITTLE INDIA MRT STATION (NE7),1.30680019696174,103.849647059738
NEWTON MRT STATION (DT11),1.31399286264569,103.837714613091
NEWTON MRT STATION (NS21),1.3123189224097,103.837984594021
SERANGOON MRT STATION (CC13),1.35063361526525,103.872771660431
ALJUNIED MRT STATION (EW9),1.3164326118157,103.882906044385
BOTANIC GARDENS MRT STATION (DT9),1.32248807089544,103.816013994259
DHOBY GHAUT MRT STATION (NE6),1.29970458121203,103.845488542541
GREAT WORLD MRT STATION (TE15),1.29394816169384,103.833720837731
NOVENA MRT STATION (NS20),1.32044079120154,103.843825618748
ORCHARD MRT STATION (NS22),1.30398013681715,103.832245244375
ORCHARD MRT STATION (TE14),1.30304426265194,103.831375000068
STEVENS MRT STATION (DT10),1.32006555750626,103.826024401924
STEVENS MRT STATION (TE11),1.31933437435349,103.825566965234
TAN KAH KEE MRT STATION (DT8),1.32555623519898,103.807760304729
ANG MO KIO MRT STATION (NS16),1.36993284962262,103.84955809232
BEDOK RESERVOIR MRT STATION (DT30),1.33660782955099,103.932234623286
BUKIT BROWN MRT STATION (CC18),1.33372888295973,103.830689549849
CALDECOTT MRT STATION (CC17),1.33767337407828,103.839530785576
CHOA CHU KANG WEST MRT STATION (JS2),1.37922755842935,103.740022320403
FARRER ROAD MRT STATION (CC20),1.31743915158967,103.807379214161
MARSILING MRT STATION (NS8),1.43252114855026,103.774074641403
PAYA LEBAR MRT STATION (EW8),1.31811149224527,103.893060771576
SIMEI MRT STATION (EW3),1.34319707851829,103.953377214378
SIXTH AVENUE MRT STATION (DT7),1.33085764536226,103.796906838288
BAHAR JUNCTION MRT STATION (JS7),1.34618225434114,103.703002254271
BAYSHORE MRT STATION (TE29),1.31312248291264,103.942309776767
BOON LAY MRT STATION (EW27),1.33860405469845,103.706064622772
EUNOS MRT STATION (EW7),1.31978354916088,103.903225807255
HONG KAH MRT STATION (JS4),1.35812200829127,103.726153007988
MARINE TERRACE MRT STATION (TE27),1.30666510344814,103.9151067005
MOUNTBATTEN MRT STATION (CC7),1.30620190525331,103.882528081052
PIONEER MRT STATION (EW28),1.33758701106708,103.697321608474
XILIN MRT STATION (DT36),1.32890694938858,103.964902569595
YIO CHU KANG MRT STATION (NS15),1.38175587099132,103.84494727118
BEDOK MRT STATION (EW5),1.32397996868158,103.929984495066
BOON KENG MRT STATION (NE9),1.31933570922514,103.861569454156
GEYLANG BAHRU MRT STATION (DT24),1.32130110228321,103.871622627142
HUME MRT STATION (DT4),1.3545953239503,103.769118851887
MATTAR MRT STATION (DT25),1.32687671501334,103.883247509542
MAYFLOWER MRT STATION (TE6),1.37146318831015,103.836567766945
POTONG PASIR MRT STATION (NE10),1.33137949021368,103.869055656782
TAI SENG MRT STATION (CC11),1.33514150139202,103.888389300191
TOA PAYOH MRT STATION (NS19),1.33262928096888,103.847502198048
WOODLEIGH MRT STATION (NE11),1.33919004519388,103.87081830915
BEDOK NORTH MRT STATION (DT29),1.33474211664091,103.91797832995
BEDOK SOUTH MRT STATION (TE30),1.31668400658419,103.94931120983
BUKIT GOMBAK MRT STATION (NS3),1.35861159094192,103.751790910733
HILLVIEW MRT STATION (DT3),1.36234486803558,103.767418254007
KATONG PARK MRT STATION (TE24),1.29783147778951,103.886178949925
KEMBANGAN MRT STATION (EW6),1.3210381335934,103.912947930851
KOVAN MRT STATION (NE13),1.36017917065237,103.885064856353
TANAH MERAH MRT STATION (EW4),1.32718729074675,103.946348600798
TENGAH MRT STATION (JS3),1.36634689098717,103.730063135994
UPPER CHANGI MRT STATION (DT34),1.34173977444995,103.961472788634
BARTLEY MRT STATION (CC12),1.34250117805245,103.880177899184
BUKIT PANJANG MRT STATION (DT1),1.37900211641036,103.761535114929
CHOA CHU KANG MRT STATION (JS1),1.38536846992147,103.744084909492
GUL CIRCLE MRT STATION (EW30),1.31947090075208,103.660530461345
HOUGANG MRT STATION (NE14),1.37129226620797,103.892380513029
JOO KOON MRT STATION (EW29),1.3277170408447,103.678374996165
MARYMOUNT MRT STATION (CC16),1.348707263451,103.839423132332
SERANGOON MRT STATION (NE12),1.34970788089564,103.873574849884
TUAS CRESCENT MRT STATION (EW31),1.32102695598684,103.649078235627
YEW TEE MRT STATION (NS5),1.39753506936297,103.747405150236
ADMIRALTY MRT STATION (NS10),1.44058856161847,103.800990519771
BUKIT BATOK WEST MRT STATION,1.34567395098752,103.739501967519
CHANGI AIRPORT MRT STATION (CG2),1.35747897447692,103.98788356959
ENTERPRISE MRT STATION,1.33273166971542,103.708579757668
GEK POH MRT STATION,1.3483403539896,103.698067375909
KRANJI MRT STATION (NS7),1.42508698073648,103.762137459497
NANYANG GATEWAY MRT STATION,1.35368874857238,103.686606816138
PUNGGOL MRT STATION (NE17),1.40454653668991,103.902072622229
SPRINGLEAF MRT STATION (TE4),1.39758106126824,103.817856949947
TENGAH PARK MRT STATION,1.35244451963606,103.736747833111
JURONG HILL MRT STATION,1.31862464981185,103.710134682085
JURONG PIER MRT STATION,1.31311068517348,103.710396937205
JURONG TOWN HALL MRT STATION,1.32637897756011,103.745212052616
NANYANG CRESCENT MRT STATION,1.34840633349431,103.680804429775
PANDAN RESERVOIR MRT STATION,1.32045822331,103.744800765101
PENG KANG HILL MRT STATION,1.3432054923337,103.678564298892
TAWAS MRT STATION,1.35056122396341,103.692020046515
TENGAH PLANTATION MRT STATION,1.35732891143881,103.733467748962
TOH GUAN MRT STATION,1.33990905682439,103.742494811967
TUKANG MRT STATION,1.32541028967575,103.709245214625
CASHEW MRT STATION,1.36984601365741,103.764315051619
KIM CHUAN UNDERGROUND MRT DEPOT,1.343584912012,103.888825325106
MARINA BAY MRT STATION,1.27631114381584,103.854604975361
SOMERSET MRT STATION,1.30025287710542,103.839158336848
TUAS MRT DEPOT,1.34220625292052,103.639023145587
BEAUTY WORLD MRT STATION,1.34090149001429,103.775746717778
BOTANIC GARDENS MRT STATION,1.32238699517166,103.815385463093
BRADDELL MRT STATION,1.34010520696434,103.846755921048
BUANGKOK MRT STATION,1.38369417199994,103.893049981318
CHINATOWN MRT STATION,1.2839640518753,103.843141945391
CLARKE QUAY MRT STATION,1.28745211415803,103.846119192727
HARBOURFRONT MRT STATION,1.26531139858465,103.820557316696
KING ALBERT PARK MRT STATION,1.335893496278,103.783235863233
OUTRAM PARK MRT STATION,1.2802415328084,103.840052100136
RAFFLES PLACE MRT STATION,1.28393326234538,103.851463066212
BISHAN MRT STATION,1.35101889777844,103.850057208608
BUGIS MRT STATION,1.30026468984101,103.855614760658
BUGIS MRT STATION,1.3004650853709,103.855706731205
BUONA VISTA MRT STATION,1.30627534823257,103.790363200126
CITY HALL MRT STATION,1.29298990700923,103.852542630339
HAW PAR VILLA MRT STATION,1.28195688684898,103.781988990137
LABRADOR PARK MRT STATION,1.27236838626952,103.803416232089
LORONG CHUAN MRT STATION,1.35153128621585,103.864812169514
MACPHERSON MRT STATION,1.32683963232487,103.890007860464
TIONG BAHRU MRT STATION,1.28619457890544,103.826998939732
ANG MO KIO MRT STATION,1.36993284962264,103.849558091776
CALDECOTT MRT STATION,1.33734722320212,103.839544077561
DAKOTA MRT STATION,1.30843144331463,103.889268208422
FARRER PARK MRT STATION,1.31314029963164,103.854754721344
LAVENDER MRT STATION,1.30739187893137,103.862784610013
LITTLE INDIA MRT STATION,1.30724381608438,103.849841614124
NEWTON MRT STATION,1.31257031730604,103.838031555215
SERANGOON MRT STATION,1.3510482896351,103.871070417199
SIXTH AVENUE MRT STATION.,1.33096058134451,103.796969279733
TAN KAH KEE MRT STATION,1.32639224146351,103.806548201692
BARTLEY MRT STATION,1.3424454382925,103.880197087117
BOON KENG MRT STATION,1.31993957653291,103.862052698446
BUKIT PANJANG MRT STATION,1.37956121236613,103.761188866252
HILLVIEW MRT STATION,1.36288845715168,103.767780907707
HOUGANG MRT STATION,1.37033472429161,103.892261757937
KOVAN MRT STATION,1.35990191952976,103.884494725197
MOUNTBATTEN MRT STATION,1.30615406128913,103.883045148696
POTONG PASIR MRT STATION,1.33137808528793,103.869363547741
WOODLEIGH MRT STATION,1.33982824592182,103.87096088798
